Year,Organisation,Critical Industry,Organisation size,Level of digital intensity,Sector,Country,Cyber security role,Cyber security frameworks,Education and awareness policy,Policy,"Prevention, Detection and Recovery",Improper network segmentation,Inappropriate remote access,Absence of encryption,Detector,Restructuring after attack,Bribe/ransom paid,Free identity or credit theft monitoring,Additional disclosure of information,Number of users affected,Overall nature of attack,Attack type,Attacker,Attack vector,Impact on data,Aspect of Confidentiality-Integrity-Availability triad affected,Individual(s) name(s) leaked/exposed,Address(es) leaked/exposed,Other personally identifiable information (PII) leaked/exposed,Track 1 - Credit card details leaked/exposed,Track 2 - Credit card details leaked/exposed,Social security number/tax number leaked/exposed,Subsequent fraudulent use of data,Investigation,Undertook investigation,Litigation by public,Penalties/settlement paid or actions imposed,Imposed penalties or actions on organisation,Fines issued by government or relevant body,Settlement paid,Effect on share price,Summary,
2014,Embassy suites,No,Large,Low,Accommodation and food service activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,No,No,No,No,Missing,NA,NA,External,NA,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Unauthorised access but unknown,
2017,Emory Healthcare,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,NA,No,NA,Organisation,NA,No,NA,NA,79930,Type 2,NA,External,Vendor vulnerability,High,Availability,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,NA,Unauthorised access,
2016,Empathia Inc,No,Medium,High,Advertising and other business services,USA,Yes,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 2,Misuse of resources,External,NA,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Spam files found on servers,
2016,ENT & Allergy Center,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,Yes,No,16000,Type 2,Misuse of resources,External,Vendor vulnerability,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Vendor tool (Bizmatics PrognoCIS) was hacked,
2012,Environmental Protection Agency,Yes,Large,Medium-High,Public administration and defence,USA,No,No,No,Yes,Low,NA,NA,NA,Organisation,NA,No,No,No,7800,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Hackers gained access through phishing email,
2018,Envision Healthcare corporation,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,No,Missing,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Phishing attack,
2016,Epic Games Forums,No,Large,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Low,NA,NA,Yes,Organisation,No,No,No,No,800000,Type 2,Misuse of resources,External,Insufficient input validation,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Attack on data using known vulnerability (suspected SQL injection attack),
2015,Episcopal Health Services Inc.,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,No,218055,Type 2,Misuse of resources,External,NA,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Email accounts compromised,
2011,Epsilon,No,Large,High,Advertising and other business services,UK,No,No,No,Yes,Low,NA,No,NA,Organisation,NA,No,NA,NA,Missing,Type 2,Misuse of resources,External,NA,Low,Confidentiality,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,?,Gave access to companies,
2017,Equifax,Yes,Large,High,Finance and insurance,Global,Yes,No,No,Yes,Low,Yes,No,Yes,NA,Yes,No,Yes,Yes,163020000,Type 4,Web compromise,External,Insufficient input validation,High,Confidentiality,Yes,Yes,Yes,Yes,NA,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Exploited known vulnerability in consumer complaint web portal,
2014,European Central Bank,Yes,Large,High,Finance and insurance,USA,No,No,No,Yes,Low,NA,NA,NA,Public,Yes,No,No,No,Missing,Type 4,Web compromise,External,NA,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown attack on website,
2015,Evans Hotels,No,Large,Low,Accommodation and food service activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,No,Missing,Type 1,Installed malware,External,Unknown network attack,High,Confidentiality,Yes,No,No,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Malware installed,
2013,Evernote,Yes,Medium,High,IT and other information services,Global,Yes,No,No,Yes,Medium,NA,NA,No,Organisation,Yes,No,No,Yes,50000000,NA,NA,External,NA,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unknown,
2016,Evony,No,NA,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,No,No,33407472,NA,NA,External,NA,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unknown,
2015,Excellus Blue Cross Blue Shield,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,No,10000000,NA,NA,External,NA,Low,Confidentiality,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Unknown,
2014,Experian,Yes,Large,High,Finance and insurance,UK,No,No,No,Yes,Low,NA,NA,NA,Organisation,NA,No,Yes,NA,15000000,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,?,Unauthorised access but unknown,
2009,Express Scripts,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,NA,No,NA,Public,NA,No,NA,NA,700000,NA,NA,External,NA,Low,Confidentiality,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Unknown,
2016,Eye Institute of Marin,Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,No,No,Missing,Type 1,Installed malware,External,NA,High,Availability,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Ransomware ,
2019,EyeSouth Partners,Yes,Medium,Low-Medium,Human health activities,USA,Yes,No,No,Yes,Medium,No,No,No,Organisation,Yes,No,NA,NA,24113,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unauthorised access to employee email,
2019,"FABEN Obstetrics  Gynaecology, LLC",Yes,Small,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,NA,Missing,Type 1,Installed malware,External,NA,High,Availability,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Ransomware ,
2013,Fabric Depot,No,Medium,Low-Medium,"Textiles, wearing apparel and leather",USA,No,No,No,Yes,Medium,Yes,NA,NA,Organisation,Yes,No,No,Yes,Missing,Type 4,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Yes,No,No,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Hacker attacked website and data system,
2018,Facebook,No,Large,Medium-High,"Arts, entertainment and recreation",Global,Yes,Yes,Yes,Yes,Medium,NA,NA,NA,Organisation,Yes,No,NA,Yes,50000000,NA,NA,External,NA,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No change,Unknown,
2018,Fairbanks North Star Borough,Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,Yes,Missing,Type 1,Installed malware,External,Vendor vulnerability,High,Availability,Yes,Yes,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,No,NA,Ransomware ,
2011,"Fairview  North Memorial Hospitals, Accretive",Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,No,No,Yes,Organisation,NA,No,NA,NA,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Physical device stolen ,
2017,Family Service Rochester,Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,Yes,Missing,Type 1,Installed malware,External,NA,High,Availability,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Ransomware ,
2017,Family Tree Health Clinic,Yes,Small,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,Yes,13000,Type 1,Installed malware,External,Social engineering,High,Availability,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Ransomware ,
2017,Far Niente Winery,Yes,Medium,Low,"Agriculture, forestry and fishing",USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,Yes,Missing,Type 1,Installed malware,External,NA,High,Availability,Yes,No,Yes,Yes,NA,Yes,No,Yes,Yes,No,No,No,No,No,NA,Ransomware ,
2018,"Farmgirl Flowers, Inc.",No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,High,Yes,Yes,Yes,Organisation,Yes,No,Yes,Yes,1870,Type 4,Web compromise,External,Insufficient input validation,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,Yes,Yes,Yes,No,No,No,No,No,NA,Malicious code inserted,
2009,Federal Aviation Administration,Yes,Large,Medium-High,Public administration and defence,USA,Yes,No,No,Yes,Medium,NA,No,NA,Organisation,Yes,No,NA,Yes,45000,Type 2,Misuse of resources,External,Unknown device attack,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Computer hacked,
2012,Feinstein Institute for Medical Research,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,No,13000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,NA,Laptop stolen with no encryption,
2018,Fetal Diagnostic Institute of the Pacific,Yes,Medium,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,No,40800,Type 1,Installed malware,External,NA,High,Availability,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Ransomware ,
2006,Fidelity Investments,Yes,Large,High,Finance and insurance,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,Yes,196000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop was stolen,
2014,Fidelity National Financial,Yes,Large,High,Finance and insurance,USA,Yes,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,Yes,Missing,Type 2,Misuse of resources,External,Social engineering,Low,Confidentiality,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No change,Phishing attack,
2007,Fidelity National Information Services,Yes,NA,High,Finance and insurance,USA,No,No,No,Yes,Low,No,No,No,Organisation,NA,No,NA,NA,Missing,Type 5,Misuse of resources,Internal,Inappropriate use of privilege,High,Confidentiality,Yes,Yes,Yes,Yes,NA,Yes,Yes,No,No,No,No,No,No,No,?,Employee stole and sold data,
2017,Fingerhut,Yes,Large,High,Finance and insurance,USA,No,No,No,Yes,Low,NA,NA,NA,Public,Yes,No,No,Yes,Missing,NA,NA,External,NA,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unauthorised access but unknown,
2018,Five below inc,Yes,NA,High,Finance and insurance,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,Yes,Missing,NA,NA,External,NA,High,Confidentiality,Yes,No,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,?,Unauthorised access but unknown,
2014,"Flinn Scientific, Inc.",Yes,Medium,Medium-High,Machine equipment,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 1,Installed malware,External,NA,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Malware installed,
2008,Florida Agency for Workforce Innovation,Yes,NA,Medium-High,Public administration and defence,USA,No,No,No,Yes,Medium,NA,No,NA,Organisation,Yes,No,NA,Yes,250000,NA,NA,External,NA,Low,Confidentiality,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Unknown,
2013,Florida Department of Juvenile Justice,Yes,NA,Medium-High,Public administration and defence,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,No,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Device stolen without password protection or encryption,
2008,Foothills Parks  Recreation District,No,NA,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Medium,NA,No,Yes,Organisation,Yes,No,No,NA,Missing,NA,NA,External,NA,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,Yes,Yes,Yes,No,No,No,No,No,NA,Unauthorised access but unknown,
2005,Ford Motor Co.,Yes,Large,Medium-High,Machine equipment,USA,No,No,No,NA,Medium,No,No,Yes,Organisation,Yes,No,Yes,No,70000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,?,Computer stolen,
2008,Forever21,No,NA,Low-Medium,"Textiles, wearing apparel and leather",USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,Yes,98930,NA,NA,External,NA,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,Yes,Yes,No,No,No,No,No,NA,Unauthorised access but unknown,
2017,Forever21,No,Large,Low-Medium,"Textiles, wearing apparel and leather",USA,No,No,No,Yes,Low,Yes,NA,Yes,Public,No,No,Yes,Yes,Missing,Type 1,Installed malware,External,NA,High,Confidentiality,Yes,No,No,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Malware installed on PoS (normal PoS attack),
2017,Forever21,No,Large,Low-Medium,"Textiles, wearing apparel and leather",USA,No,No,No,Yes,Low,Yes,NA,Yes,Public,No,No,Yes,Yes,Missing,Type 1,Installed malware,External,NA,High,Confidentiality,Yes,No,No,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Malware was installed on additional PoS terminals giving access to card logs (separated  from earlier incident as different technique to other PoS attack  with historical credit log data taken),
2012,Formspring,No,NA,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,NA,No,420000,NA,NA,External,Unknown network attack,Low,Confidentiality,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unknown,
2013,Foundations Recovery Network,Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Device stolen - no mention of encryption,
2011,Fox.com,No,Large,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Low,NA,No,NA,Organisation,NA,No,NA,NA,Missing,NA,NA,External,NA,Low,Confidentiality,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,NA,Unknown,
2017,Fred usinger inc,Yes,Medium,Low,"Food products, beverages and tobacco",USA,No,No,No,Yes,Low,NA,NA,NA,Public,Yes,No,Yes,Yes,Missing,Type 2,NA,External,Vendor vulnerability,High,Confidentiality,Yes,No,No,Yes,NA,Yes,No,No,No,No,No,No,No,No,NA,Payment card data accessed on e-commerce website managed by third party provider,
2014,"Freedom Management Group, LLC",Yes,NA,Medium-High,Machine equipment,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,NA,NA,External,NA,High,Confidentiality,Yes,No,Yes,Yes,NA,No,No,Yes,Yes,No,No,No,No,No,NA,Unknown,
2017,"Friedman & Perry, CPA's",No,Small,High,Legal and accounting activities,USA,No,No,No,Yes,Low,NA,NA,NA,Public,Yes,No,No,No,Missing,NA,NA,External,NA,High,Confidentiality,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,NA,Unknown,
2017,Friend Finder Network,Yes,Large,High,IT and other information services,USA,Yes,No,No,Yes,Low,NA,NA,NA,Public,Yes,No,No,Yes,412000000,NA,NA,External,NA,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2013,Froedtert Health,Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,No,43000,Type 1,Installed malware,External,NA,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Virus installed,
2012,Gamigo,No,Large,Medium-High,"Arts, entertainment and recreation",Germany,No,No,No,Yes,Low,Yes,No,Yes,Public,Yes,No,NA,Yes,8243809,NA,NA,External,Unknown network attack,High,Confidentiality,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,NA,Unknown,
2017,Gannett Co,No,Large,Medium-High,"Publishing, audiovisual and broadcasting",USA,No,No,No,Yes,Low,NA,NA,NA,Organisation,No,No,Yes,No,18000,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,?,Phishing attack,
2007,Gap Inc,No,Large,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,Yes,800000,Type 3,Physical Theft,External,Vendor vulnerability,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No change,Laptop stolen from vendor's,
2011,Gary Vaynerchuk's Wine Library,Yes,Medium,Low,Accommodation and food service activities,USA,No,No,No,Yes,Low,NA,No,Yes,Public,Yes,No,No,No,Missing,Type 4,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Yes,Yes,No,Yes,NA,No,Yes,No,No,No,No,No,No,No,NA,Unknown attack on website,
2017,Gary W. Janke,No,Small,High,Legal and accounting activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,Yes,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Device stolen,
2010,Gawker,No,Large,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Low,No,No,Yes,Organisation,NA,No,No,NA,Missing,NA,NA,External,NA,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2008,Geeks.com,No,NA,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Medium,NA,No,Yes,Organisation,Yes,No,No,NA,Missing,NA,NA,External,NA,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,No,NA,Unknown,
2010,Genesco Inc.,No,Large,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,NA,NA,Yes,Credit card/bank,NA,No,NA,NA,Missing,Type 1,Installed malware,External,NA,High,Confidentiality,Yes,No,Yes,Yes,NA,No,Yes,Yes,No,Yes,Yes,No,No,Yes,NA,Malicious code inserted into system,
2005,George Mason University,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,No,No,No,Yes,32000,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,Yes,Yes,NA,NA,Yes,No,Yes,Yes,No,No,No,No,No,NA,Unauthorised access but unknown,
2006,Georgetown University,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,Yes,No,Yes,NA,No,No,No,No,41000,NA,NA,External,Unknown device attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Targeted a server,
2008,Georgetown University,No,Large,Low-Medium,Education,USA,Yes,No,No,Yes,Low,No,No,Yes,Organisation,No,No,Yes,Yes,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Hard drive was stolen,
2014,Georgia Department of Behavioral Health  Developmental Disabilities (DBHDD),Yes,Large,Low-Medium,Human health activities,USA,Yes,No,No,Yes,Low,No,No,Yes,Organisation,No,No,Yes,Yes,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop stolen,
2009,Georgia State Board of Pardons  Paroles,Yes,Large,Medium-High,Public administration and defence,USA,No,No,No,Yes,Low,No,No,No,Organisation,NA,No,No,NA,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Laptop stolen,
2007,GFK NOP LLC,No,Large,High,Advertising and other business services,USA,No,No,No,Yes,Low,No,No,Yes,Organisation,NA,No,NA,NA,Missing,Type 3,Physical Theft,External,Physical device,High,Confidentiality,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop stolen with no encryption,
2014,Gingerbread Shed Corporation,No,NA,High,Advertising and other business services,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,Yes,Missing,NA,NA,External,NA,High,Confidentiality,Yes,No,Yes,Yes,NA,No,No,Yes,Yes,No,No,No,No,No,NA,Unauthorised access but unknown,
2015,GlamGlow,Yes,Medium,Low-Medium,Chemicals and chemical products,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,Yes,Missing,Type 4,Web compromise,External,NA,High,Confidentiality,Yes,No,No,Yes,NA,Yes,No,No,No,No,No,No,No,No,NA,Unauthorised access to website,
2015,"Global Care Delivery, Inc.",Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,NA,Organisation,Yes,No,No,No,18000,Type 3,Physical Theft,External,Physical device,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptops stolen,
2011,Global Payments,Yes,Large,High,Finance and insurance,USA,Yes,No,No,Yes,Low,NA,No,NA,Public,Yes,No,Yes,NA,1500000,NA,NA,External,NA,High,Confidentiality,Yes,Yes,No,Yes,NA,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No change,Unknown,
2017,GNAC,No,NA,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Low,Yes,NA,Yes,Organisation,Yes,No,No,Yes,Missing,Type 4,Web compromise,External,Insufficient input validation,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Web application compromise led to database access,
2014,"Godiva Chocolatier, Inc.",Yes,Large,Low,Accommodation and food service activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Laptop stolen,
2018,Gold Coast Health Plan,Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,Yes,37000,Type 2,Misuse of resources,External,Social engineering,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Phishing attack,
2015,Golden 1 Credit Union,Yes,Large,High,Finance and insurance,USA,No,No,No,Yes,Low,Yes,NA,Yes,Organisation,No,No,Yes,Yes,Missing,Type 5,Misuse of resources,Internal,Inappropriate use of privilege,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Employee engaged unauthorised activity,
2017,Goldenvoice/Coachella Music Festival,No,NA,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Low,NA,NA,NA,Organisation,No,No,Yes,No,Missing,NA,NA,External,NA,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Unauthorised access but unknown,
2017,GOLFTEC,No,NA,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,Yes,NA,Yes,NA,Yes,No,Yes,Yes,Missing,Type 1,Installed malware,External,NA,High,Confidentiality,Yes,No,No,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Malware installed at PoS,
2014,Goodwill Industries,No,NA,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,NA,No,Yes,Credit card/bank,Yes,No,No,NA,868000,Type 1,Installed malware,External,Vendor vulnerability,High,Confidentiality,Yes,No,No,Yes,NA,No,Yes,No,No,No,No,No,No,No,NA,Malware installed at PoS,
2016,Google Android,Yes,Large,High,IT and other information services,USA,Yes,No,No,Yes,Low,NA,Yes,Yes,Organisation,Yes,No,No,No,1000000,Type 1,Installed malware,External,NA,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Malware targeting Android systems,
2007,Goshen College,No,Large,Low-Medium,Education,USA,No,No,No,Yes,High,Yes,Yes,Yes,Organisation,Yes,No,NA,Yes,Missing,Type 2,Misuse of resources,External,Unknown device attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Computer accessed from off campus,
2016,GoToMyPC,Yes,NA,High,IT and other information services,USA,No,No,No,Yes,Low,NA,Yes,Yes,Organisation,No,No,No,No,Missing,Type 2,Misuse of resources,External,Insufficient authentication validation,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unknown attack  using passwords taken from another attack,
2016,"Grace Primary Care, PC",Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,NA,NA,Yes,Organisation,No,No,No,No,6853,Type 2,NA,External,Vendor vulnerability,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Bizmatics hack,
2016,"Graphik Dimensions, Ltd.",No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,Yes,Missing,Type 1,Installed malware,External,Insufficient input validation,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Malicious code entered into website,
2013,"Greensboro ABC Stores, Triad ABC ",No,NA,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,No,Missing,Type 1,Installed malware,External,NA,High,Confidentiality,Yes,No,Yes,Yes,NA,No,Yes,No,No,No,No,No,No,No,NA,Malware installed at PoS,
2014,ground (ctrl),No,NA,High,Advertising and other business services,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,Yes,Missing,NA,NA,External,Unknown network attack,High,Confidentiality,Yes,No,Yes,Yes,NA,No,No,Yes,Yes,No,No,No,No,No,NA,Unauthorised access but unknown,
2017,"GS1 US, Inc.",No,Medium,High,Advertising and other business services,USA,No,No,No,Yes,Low,Yes,NA,Yes,NA,Yes,No,No,Yes,Missing,Type 1,Installed malware,External,Unknown network attack,High,Confidentiality,Yes,No,No,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Malware installed on PoS,
2017,"Guaranteed Rate, Inc.",Yes,Large,High,Finance and insurance,USA,No,No,No,Yes,Medium,No,No,No,Organisation,Yes,No,Yes,Yes,Missing,Type 2,Misuse of resources,External,Social engineering,High,Confidentiality,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,Phishing attack,
